Date,Value
01/01/19,5.35
01/02/19,5.35
01/03/19,5.39
01/04/19,5.44
01/05/19,5.39
01/06/19,5.4
01/07/19,5.44
01/08/19,5.56
01/09/19,5.6
01/10/19,5.54
01/11/19,5.66
01/12/19,5.73
01/01/20,5.75
01/02/20,5.86
01/03/20,5.92
01/04/20,6.04
01/05/20,6.25
01/06/20,6.38
01/07/20,6.34
01/08/20,6.3
01/09/20,6.22
01/10/20,6.05
01/11/20,6.08
01/12/20,6.26
01/01/21,6.14
01/02/21,6.08
01/03/21,6.08
01/04/21,6.06
01/05/21,6.11
01/06/21,6.18
01/07/21,6.12
01/08/21,5.99
01/09/21,5.93
01/10/21,5.84
01/11/21,5.6
01/12/21,5.5
01/01/22,5.34
01/02/22,5.29
01/03/22,5.23
01/04/22,5.15
01/05/22,5.13
01/06/22,5.08
01/07/22,5
01/08/22,4.96
01/09/22,4.93
01/10/22,4.97
01/11/22,5.09
01/12/22,5.08
01/01/23,5.04
01/02/23,5.07
01/03/23,5.13
01/04/23,5.22
01/05/23,5.16
01/06/23,5.15
01/07/23,5.14
01/08/23,5.08
01/09/23,5.12
01/10/23,5.11
01/11/23,5.09
01/12/23,5.09
01/01/24,5.09
01/02/24,5.09
01/03/24,5.1
01/04/24,5.08
01/05/24,5.04
01/06/24,4.99
01/07/24,4.95
01/08/24,4.95
01/09/24,4.95
01/10/24,4.92
01/11/24,4.94
01/12/24,4.95
01/01/25,4.95
01/02/25,4.95
01/03/25,4.91
01/04/25,4.87
01/05/25,4.83
01/06/25,4.83
01/07/25,4.87
01/08/25,4.9
01/09/25,4.87
01/10/25,4.85
01/11/25,4.84
01/12/25,4.85
01/01/26,4.82
01/02/26,4.77
01/03/26,4.79
01/04/26,4.74
01/05/26,4.71
01/06/26,4.72
01/07/26,4.71
01/08/26,4.72
01/09/26,4.72
01/10/26,4.71
01/11/26,4.68
01/12/26,4.68
01/01/27,4.66
01/02/27,4.67
01/03/27,4.62
01/04/27,4.58
01/05/27,4.57
01/06/27,4.58
01/07/27,4.6
01/08/27,4.56
01/09/27,4.54
01/10/27,4.51
01/11/27,4.49
01/12/27,4.46
01/01/28,4.46
01/02/28,4.46
01/03/28,4.46
01/04/28,4.46
01/05/28,4.49
01/06/28,4.57
01/07/28,4.61
01/08/28,4.64
01/09/28,4.61
01/10/28,4.61
01/11/28,4.58
01/12/28,4.61
