Date,EM_PRICE,EM_TR,EM_EMEA_PRICE,EM_EMEA_TR,EM_LATAM_PRICE,EM_LATAM_TR,EM_ASIA_PRICE,EM_ASIA_TR,ACWI_PRICE,ACWI_TR,DEV_PRICE,DEV_TR,DEV_NORTHAM_PRICE,DEV_NORTHAM_TR,DEV_EUROPE_PRICE,DEV_EUROPE_TR,DEV_ASIA_PRICE,DEV_ASIA_TR,UK_PRICE,UK_TR,IRELAND_PRICE,IRELAND_TR,GERMANY_PRICE,GERMANY_TR,AUSTRIA_PRICE,AUSTRIA_TR,SWITZERLAND_PRICE,SWITZERLAND_TR,NETHERLANDS_PRICE,NETHERLANDS_TR,BELGIUM_PRICE,BELGIUM_TR,SWEDEN_PRICE,SWEDEN_TR,FINLAND_PRICE,FINLAND_TR,NORWAY_PRICE,NORWAY_TR,FRANCE_PRICE,FRANCE_TR,ITALY_PRICE,ITALY_TR,SPAIN_PRICE,SPAIN_TR,PORTUGAL_PRICE,PORTUGAL_TR,ISRAEL_PRICE,ISRAEL_TR,JAPAN_PRICE,JAPAN_TR,AUSTRALIA_PRICE,AUSTRALIA_TR,NEW_ZEALAND_PRICE,NEW_ZEALAND_TR,HONG_KONG_PRICE,HONG_KONG_TR,SINGAPORE_PRICE,SINGAPORE_TR,BRAZIL_PRICE,BRAZIL_TR,MEXICO_PRICE,MEXICO_TR,CHILE_PRICE,CHILE_TR,COLOMBIA_PRICE,COLOMBIA_TR,PERU_PRICE,PERU_TR,RUSSIA_PRICE,RUSSIA_TR,POLAND_PRICE,POLAND_TR,HUNGARY_PRICE,HUNGARY_TR,CZECH_PRICE,CZECH_TR,GREECE_PRICE,GREECE_TR,TURKEY_PRICE,TURKEY_TR,QATAR_PRICE,QATAR_TR,UAE_PRICE,UAE_TR,EGYPT_PRICE,EGYPT_TR,SOUTH_AFRICA_PRICE,SOUTH_AFRICA_TR,CHINA_PRICE,CHINA_TR,INDIA_PRICE,INDIA_TR,TAIWAN_PRICE,TAIWAN_TR,KOREA_PRICE,KOREA_TR,MALAYSIA_PRICE,MALAYSIA_TR,INDONESIA_PRICE,INDONESIA_TR,THAILAND_PRICE,THAILAND_TR,PHILLIPINES_PRICE,PHILLIPINES_TR,CANADA_PRICE,CANADA_TR,USA_PRICE,USA_TR
31/12/69,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,,,,,100,100,100,100,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100
30/01/70,,,,,,,,,,,94.249,94.528,93.347,93.641,98.933,99.23,97.913,98.209,99.069,99.383,,,94.971,95.232,99.769,100.051,97.346,97.5,94.277,94.638,100.681,101.067,95.944,96.232,,,103.799,104.033,103.671,103.938,103.906,104.183,103.69,103.941,,,,,98.135,98.486,96.743,96.92,,,105.158,105.587,98.707,98.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.195,102.493,92.592,92.886
27/02/70,,,,,,,,,,,96.979,97.558,98.153,98.756,95.657,96.248,98.338,98.928,93.564,94.182,,,91.998,92.512,98.35,98.924,95.575,95.886,94.798,95.525,100.495,101.267,89.684,90.238,,,101.84,102.299,100.642,101.171,100.889,101.428,108.521,109.047,,,,,99.057,99.768,95.515,95.85,,,112.226,113.115,100.033,100.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.475,107.088,97.527,98.13
31/03/70,,,,,,,,,,,97.075,97.947,98.514,99.416,96.663,97.56,100.593,101.497,95.651,96.612,,,92.632,93.39,97.544,98.416,95.379,95.857,95.802,96.899,100.754,101.957,92.021,92.891,,,106.649,107.371,99.325,100.13,104.277,105.097,104.967,105.739,,,,,102.793,103.893,95.075,95.575,,,116.391,117.773,97.257,98.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.304,108.227,97.829,98.729
30/04/70,,,,,,,,,,,87.8,88.877,89.644,90.758,89.345,90.49,89.036,90.138,85.666,86.858,,,88.161,89.142,99.827,101.021,86.184,86.782,89.534,90.929,99.313,100.935,82.543,83.629,,,103.643,104.613,93.254,94.308,103.795,104.872,96.282,97.249,,,,,90.061,91.389,84.313,84.926,,,116.488,118.334,90.926,91.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.786,95.896,89.088,90.2
29/05/70,,,,,,,,,,,82.06,83.357,84.145,85.482,84.362,85.756,85.436,86.791,81.149,82.614,,,79.689,80.844,99.682,101.202,83.853,84.604,87.087,88.813,95.123,97.124,76.661,77.98,,,99.426,100.616,90.563,91.884,93.792,95.026,91.612,92.802,,,,,87.377,89.027,78.733,79.47,,,112.89,115.137,90.394,91.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.524,86.828,83.789,85.125
30/06/70,,,,,,,,,,,79.837,81.389,81.067,82.65,85.142,86.867,89.665,91.394,84.601,86.466,,,76.548,77.929,101.98,103.864,84.178,85.101,86.835,88.925,95.669,98.128,81.849,83.57,,,104.283,105.803,88.219,89.812,89.173,90.617,94.853,96.399,,,,,88.687,90.73,88.785,89.789,,,117.959,120.788,90.81,92.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.558,91.242,80.099,81.667
31/07/70,,,,,,,,,,,84.585,86.525,86.746,88.733,88.972,91.099,90.735,92.792,87.533,89.798,,,81.008,82.744,102.928,105.161,87.275,88.384,94.13,96.773,100.958,104.009,88.866,91.045,,,111.49,113.389,93.105,95.094,91.445,93.198,96.868,98.692,,,,,88.586,90.997,91.499,92.703,,,126.103,129.612,91.473,93.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.705,97.821,85.851,87.823
31/08/70,,,,,,,,,,,87.175,89.464,90.007,92.361,89.423,91.882,89.818,92.167,87.108,89.704,,,81.757,83.787,107.071,109.731,90.981,92.324,100.126,103.306,100.293,103.779,83.003,85.35,,,122.538,124.906,92.483,94.766,91.278,93.299,96.961,99.066,,,,,87.343,90.094,90.662,92.038,,,131.03,135.158,90.324,92.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.774,102.311,89.109,91.445
30/09/70,,,,,,,,,,,89.788,92.438,92.985,95.711,90.18,92.984,88.932,91.579,91.989,95.07,,,80.219,82.492,108.778,111.824,86.953,88.406,98.168,101.658,100.77,104.731,80.734,83.328,,,125.817,128.526,89.657,92.184,88.864,91.074,93.5,95.809,,,,,86.037,89.131,90.656,92.216,,,128.427,132.97,90.89,93.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.006,109.037,91.875,94.574
