year,SP500,TBILL,US10
31/12/28,0.4548422372,0.0427921093,0.0200856941
31/12/29,-0.0829794661,0.0316,0.0420380416
31/12/30,-0.230774978,0.0740702692,0.0739771053
31/12/31,-0.3832368646,0.1235449154,0.0700762579
31/12/32,0.0184797711,0.1267558528,0.2128239352
31/12/33,0.5802573536,0.0637446001,0.0731774533
31/12/34,-0.0453923843,-0.0307941262,0.0430242742
31/12/35,0.4307763363,-0.0232546802,0.0186432111
31/12/36,0.3058532292,-0.0086104513,0.0393693131
31/12/37,-0.3766193845,-0.0330425142,-0.022663202
31/12/38,0.3193453825,0.0213031942,0.0635090165
31/12/39,0.0020510163,0.0135511651,0.0578749888
31/12/40,-0.1132023547,-0.006998908,0.0463861968
31/12/41,-0.1701213546,-0.0478308439,-0.0678546055
31/12/42,0.0739277548,-0.095814184,-0.0781754687
31/12/43,0.1798236805,-0.0530188679,-0.0331132075
31/12/44,0.1711007177,-0.0123966942,0.0092248245
31/12/45,0.3280637952,-0.0184804928,0.0150035919
31/12/46,-0.15548416,-0.0742414461,-0.0488944523
31/12/47,-0.082424771,-0.1228303532,-0.1197584229
31/12/48,-0.0188920071,-0.0623491739,-0.0537308619
31/12/49,0.1943788357,0.0207218576,0.0566732477
31/12/50,0.2939513207,0.0008161045,-0.0065328347
31/12/51,0.1464447816,-0.05934835,-0.0757815528
31/12/52,0.1550590345,-0.0060367582,-0.000215112
31/12/53,-0.0201170873,0.0106377703,0.0329680645
31/12/54,0.5207667588,0.0064045056,0.029603304
31/12/55,0.3296964686,0.0194544725,-0.0105940547
31/12/56,0.0583088246,0.0101950355,-0.0371924135
31/12/57,-0.1335142267,-0.0010644475,0.0334528048
31/12/58,0.3990066679,-0.0092718777,-0.0470068936
31/12/59,0.1093600352,0.0222255222,-0.0362006857
31/12/60,-0.0110729814,0.01562192,0.1003302158
31/12/61,0.2529703469,0.011848224,0.0098043021
31/12/62,-0.0989274755,0.0155879447,0.0444026092
31/12/63,0.211101611,0.0184709601,0.0043872192
31/12/64,0.149441705,0.0219687994,0.0241712568
31/12/65,0.1064006544,0.0227630672,-0.0085751049
31/12/66,-0.1260164473,0.0177652655,-0.0009907686
31/12/67,0.2045433597,0.0151050788,-0.0424267464
31/12/68,0.0627684152,0.0094945814,-0.0095461811
31/12/69,-0.1299200747,0.0104542006,-0.0993177444
31/12/70,-0.0215311327,0.0079837491,0.1031248789
31/12/71,0.0951212876,0.0023010547,0.0526068708
31/12/72,0.1499502558,0.0066088893,-0.0043725278
31/12/73,-0.1928037626,0.0053221552,-0.0235619386
31/12/74,-0.3326288908,-0.0292938845,-0.0814319671
31/12/75,0.2545342226,-0.0293956044,-0.0512339414
31/12/76,0.1709787139,-0.0073758865,0.0967807162
31/12/77,-0.1265699914,-0.0128873239,-0.0489205577
31/12/78,-0.0103207219,-0.0063882178,-0.0780299265
31/12/79,0.0656310931,-0.0115311994,-0.0948505637
31/12/80,0.1598454438,-0.020778306,-0.1458861089
31/12/81,-0.1364058926,0.0357951971,-0.0194905724
31/12/82,0.1343166454,0.0456857573,0.2510790268
31/12/83,0.1852078653,0.050644255,-0.0001917317
31/12/84,0.0177003068,0.0509348035,0.0904445287
31/12/85,0.2673602075,0.0380251086,0.2140269262
31/12/86,0.1627375013,0.0404768914,0.2195487699
31/12/87,0.0207671391,0.0198967779,-0.0831613828
31/12/88,0.1196886319,0.0227709454,0.0398116434
31/12/89,0.2541751754,0.0312887532,0.122709598
31/12/90,-0.0802206244,0.0204953032,0.0080213998
31/12/91,0.24925509,0.0130455635,0.1031607676
31/12/92,0.043324546,0.0036397166,0.0614543077
31/12/93,0.0680560556,0.0002185315,0.1092750349
31/12/94,-0.0125141733,0.0134002534,-0.1037584597
31/12/95,0.3344538362,0.0263106702,0.2010580694
31/12/96,0.1918873605,0.02032935,-0.0145865366
31/12/97,0.300602434,0.026504788,0.0742537646
31/12/98,0.2637907758,0.0312900049,0.1316733818
31/12/99,0.1829469712,0.0227028085,-0.102203883
31/12/00,-0.1200601563,0.0230460437,0.1284123344
31/12/01,-0.1427575527,0.0081931343,0.0266671321
31/12/02,-0.231873688,0.0006644355,0.133146967
31/12/03,0.2550679579,-0.0121247678,-0.0185262678
31/12/04,0.078523334,-0.0141458901,0.0176342394
31/12/05,0.0139711531,-0.0036754038,-0.0050533614
31/12/06,0.1198426771,0.0139238667,-0.0123885971
31/12/07,0.0256172606,0.0174282936,0.071559766
31/12/08,-0.3890452009,-0.0218103033,0.1564880109
31/12/09,0.2636487445,0.0047662051,-0.1081346108
31/12/10,0.1296841035,-0.0148563558,0.0671284325
31/12/11,-0.0102910554,-0.0303412175,0.1248093738
31/12/12,0.1354030101,-0.01979034,0.0088328792
31/12/13,0.3023069465,-0.013836602,-0.1042137458
31/12/14,0.1171464441,-0.0154201929,0.0898069322
31/12/15,0.0123846333,0.0008989213,0.0116290418
